,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
19492,124161900.0,Calle Cielo Punko,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.07967240000001 -11.9261915, -77.0798793 -11.9266526, -77.08007069999999 -11.9270791, -77.0803674 -11.9277405, -77.0805404 -11.9281262, -77.0805738 -11.9282005, -77.0806252 -11.9283151)",Calle Cielo Punko,"['calle', 'cielo', 'punko']","['cielo', 'punko']",f,both
19493,124161901.0,Calle Cielo Punko,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0795746 -11.926267, -77.0793054 -11.9258876, -77.07911 -11.9255481, -77.07894779999999 -11.9251178, -77.0787284 -11.9245493, -77.0783212 -11.9237568, -77.078079 -11.9233134)",Calle Cielo Punko,"['calle', 'cielo', 'punko']","['cielo', 'punko']",f,both
19497,124161905.0,Calle Cielo Punko,residential,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0805335 -11.9283834, -77.0804816 -11.9282688, -77.0804529 -11.9282055, -77.0802734 -11.9278092, -77.0801262 -11.9274843, -77.07998600000001 -11.9271749, -77.0797814 -11.9267235, -77.0795746 -11.926267)",Calle Cielo Punko,"['calle', 'cielo', 'punko']","['cielo', 'punko']",f,both
19691,124345163.0,Avenida Josefina,tertiary,,,,,paved,,,,,,,,,,,no,"LINESTRING (-77.1057083 -11.9541046, -77.1057485 -11.9541408, -77.10611590000001 -11.9545081, -77.1064002 -11.9547722, -77.1069567 -11.9552893, -77.1075596 -11.9558446, -77.1080118 -11.9562611, -77.1080288 -11.9562769, -77.10838680000001 -11.9566103, -77.1084853 -11.956702, -77.109692 -11.9578198, -77.10983899999999 -11.957966, -77.1105168 -11.9586122, -77.110646 -11.958741, -77.11091930000001 -11.9590273, -77.11121780000001 -11.959307)",Avenida Josefina,"['avenida', 'josefina']",['josefina'],f,both
19750,124345284.0,Calle Santa Rosa,residential,,,,,unpaved,,,,,,,,,,,,"LINESTRING (-77.0957404 -11.9580078, -77.0952444 -11.9586316)",Calle Santa Rosa,"['calle', 'santa', 'rosa']","['santa', 'rosa']",f,both
19883,124345607.0,Santa Patricia,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.09111590000001 -11.9666181, -77.09143690000001 -11.9669429, -77.09208099999999 -11.9675832, -77.092439 -11.9679391, -77.0928041 -11.9683023)",Santa Patricia,"['santa', 'patricia']","['santa', 'patricia']",f,both
19898,124345639.0,Calle Santa Rosa,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0919722 -11.9691752, -77.09161589999999 -11.9688053, -77.0912929 -11.9684955, -77.09117620000001 -11.9683835, -77.09102420000001 -11.9682377, -77.0907541 -11.9679728, -77.09069270000001 -11.9679126, -77.090368 -11.9675783)",Calle Santa Rosa,"['calle', 'santa', 'rosa']","['santa', 'rosa']",f,both
20123,124523534.0,La Libertad,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.11384080000001 -11.9909017, -77.11369209999999 -11.9905321, -77.1135276 -11.9901762, -77.11333860000001 -11.9897202, -77.1131596 -11.9892599, -77.112988 -11.9888471, -77.1127836 -11.9883296)",La Libertad,"['la', 'libertad']",['libertad'],f,both
20196,124523628.0,Calle Libertad,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.10588629999999 -11.9811892, -77.10647659999999 -11.9811194, -77.1066783 -11.9810955, -77.1068976 -11.9810279, -77.10718799999999 -11.9808808, -77.1075542 -11.9806955, -77.1075791 -11.9806829, -77.10829320000001 -11.980257)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
20255,125613826.0,Esperanza,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.11732120000001 -11.9890322, -77.11696550000001 -11.989276, -77.1166609 -11.9894789)",Esperanza,['esperanza'],['esperanza'],f,both
20273,125613861.0,Calle Libertad,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.1222063 -11.9886515, -77.121776 -11.9889647, -77.1215017 -11.9891969, -77.1214576 -11.9892077, -77.12143140000001 -11.9892119, -77.12141370000001 -11.9892149, -77.1213623 -11.9892133)",Calle Libertad,"['calle', 'libertad']",['libertad'],f,both
20283,125613883.0,Sarita Colonia,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.11712199999999 -11.9900788, -77.11741910000001 -11.9900032, -77.1175028 -11.9898011, -77.1176875 -11.9896815, -77.1177261 -11.9897154, -77.11784230000001 -11.9896178)",Sarita Colonia,"['sarita', 'colonia']","['sarita', 'colonia']",f,both
20297,125726328.0,Jirón Juana I,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0163649 -11.9860261, -77.016471 -11.9860968, -77.0167996 -11.9863298, -77.0168924 -11.9864044, -77.0170044 -11.9865043, -77.0170578 -11.9865681, -77.0171083 -11.9866407, -77.01717360000001 -11.9867583, -77.0172122 -11.9868483, -77.0172493 -11.9869659, -77.0172685 -11.9870384, -77.0172819 -11.9871589, -77.01732819999999 -11.9875467, -77.01735499999999 -11.9879336, -77.01745630000001 -11.9890978)",Jirón Juana I,"['jiron', 'juana', 'i']","['juana', 'i']",f,both
20316,125812111.0,Marisol Bedoya,pedestrian,,,,,,,,,,,,,,,,,"LINESTRING (-77.0752959 -12.0574124, -77.07583870000001 -12.0573477, -77.0759772 -12.0573476)",Marisol Bedoya,"['marisol', 'bedoya']","['marisol', 'bedoya']",f,both
20353,125947080.0,Jirón Hortencia Zevallos,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.07928250000001 -12.0543049, -77.0791433 -12.0543751, -77.07907350000001 -12.0544422, -77.0790506 -12.0544935, -77.0790331 -12.0545327, -77.0790686 -12.0548492, -77.0791009 -12.0551373, -77.07915730000001 -12.0556832, -77.0792366 -12.056341)",Jirón Hortencia Zevallos,"['jiron', 'hortencia', 'zevallos']","['hortencia', 'zevallos']",f,both
20411,126336558.0,Esperanza Osores,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0028346 -12.0472172, -77.0025649 -12.0476834, -77.0023819 -12.0479916, -77.0022436 -12.0481852, -77.00199569999999 -12.0485025, -77.00192490000001 -12.0485836, -77.0017467 -12.0487762, -77.00137340000001 -12.0491891)",Esperanza Osores,"['esperanza', 'osores']","['esperanza', 'osores']",f,both
